[0117/5000] n=1, T=0.1169 -> Recall=96.81%, FAR=91.2668%, TP=547, FP=2853
[0118/5000] n=1, T=0.1179 -> Recall=96.46%, FAR=91.1068%, TP=545, FP=2848
[0119/5000] n=1, T=0.1189 -> Recall=96.28%, FAR=90.8189%, TP=544, FP=2839
[0120/5000] n=1, T=0.1199 -> Recall=95.40%, FAR=87.9079%, TP=539, FP=2748
[0121/5000] n=1, T=0.1209 -> Recall=95.22%, FAR=87.5240%, TP=538, FP=2736
[0122/5000] n=1, T=0.1219 -> Recall=95.22%, FAR=87.1081%, TP=538, FP=2723
[0123/5000] n=1, T=0.1229 -> Recall=95.04%, FAR=86.7562%, TP=537, FP=2712
[0124/5000] n=1, T=0.1239 -> Recall=95.04%, FAR=86.2124%, TP=537, FP=2695
[0125/5000] n=1, T=0.1249 -> Recall=94.69%, FAR=85.8925%, TP=535, FP=2685
[0126/5000] n=1, T=0.1259 -> Recall=94.34%, FAR=85.3807%, TP=533, FP=2669
[0127/5000] n=1, T=0.1269 -> Recall=94.34%, FAR=85.0288%, TP=533, FP=2658
[0128/5000] n=1, T=0.1279 -> Recall=93.98%, FAR=84.6449%, TP=531, FP=2646
[0129/5000] n=1, T=0.1289 -> Recall=93.98%, FAR=84.3570%, TP=531, FP=2637
[0130/5000] n=1, T=0.1299 -> Recall=93.98%, FAR=84.0051%, TP=531, FP=2626
[0131/5000] n=1, T=0.1309 -> Recall=93.98%, FAR=83.8772%, TP=531, FP=2622
[0132/5000] n=1, T=0.1319 -> Recall=93.98%, FAR=83.4613%, TP=531, FP=2609
[0133/5000] n=1, T=0.1329 -> Recall=93.98%, FAR=83.2054%, TP=531, FP=2601
[0134/5000] n=1, T=0.1339 -> Recall=93.98%, FAR=83.0134%, TP=531, FP=2595
[0135/5000] n=1, T=0.1349 -> Recall=93.98%, FAR=82.8215%, TP=531, FP=2589
[0136/5000] n=1, T=0.1359 -> Recall=93.98%, FAR=82.5656%, TP=531, FP=2581
[0137/5000] n=1, T=0.1369 -> Recall=93.98%, FAR=82.3417%, TP=531, FP=2574
[0138/5000] n=1, T=0.1379 -> Recall=93.81%, FAR=82.0857%, TP=530, FP=2566
[0139/5000] n=1, T=0.1389 -> Recall=93.63%, FAR=81.8298%, TP=529, FP=2558
[0140/5000] n=1, T=0.1399 -> Recall=93.63%, FAR=81.5419%, TP=529, FP=2549
[0141/5000] n=1, T=0.1409 -> Recall=93.63%, FAR=81.2860%, TP=529, FP=2541
[0142/5000] n=1, T=0.1419 -> Recall=93.63%, FAR=81.1580%, TP=529, FP=2537
[0143/5000] n=1, T=0.1429 -> Recall=93.45%, FAR=80.7742%, TP=528, FP=2525
[0144/5000] n=1, T=0.1439 -> Recall=93.45%, FAR=80.4543%, TP=528, FP=2515
[0145/5000] n=1, T=0.1449 -> Recall=93.45%, FAR=80.1983%, TP=528, FP=2507
[0146/5000] n=1, T=0.1459 -> Recall=93.45%, FAR=79.8145%, TP=528, FP=2495
[0147/5000] n=1, T=0.1469 -> Recall=92.39%, FAR=77.5432%, TP=522, FP=2424
[0148/5000] n=1, T=0.1479 -> Recall=92.21%, FAR=77.3193%, TP=521, FP=2417
[0149/5000] n=1, T=0.1489 -> Recall=92.21%, FAR=76.9994%, TP=521, FP=2407
[0150/5000] n=1, T=0.1499 -> Recall=92.04%, FAR=76.7434%, TP=520, FP=2399
[0151/5000] n=1, T=0.1508 -> Recall=92.04%, FAR=76.5515%, TP=520, FP=2393
[0152/5000] n=1, T=0.1518 -> Recall=91.86%, FAR=76.3596%, TP=519, FP=2387
[0153/5000] n=1, T=0.1528 -> Recall=91.68%, FAR=76.1036%, TP=518, FP=2379
[0154/5000] n=1, T=0.1538 -> Recall=91.68%, FAR=75.6878%, TP=518, FP=2366
[0155/5000] n=1, T=0.1548 -> Recall=91.50%, FAR=75.3999%, TP=517, FP=2357
[0156/5000] n=1, T=0.1558 -> Recall=91.50%, FAR=75.2399%, TP=517, FP=2352
[0157/5000] n=1, T=0.1568 -> Recall=91.50%, FAR=74.9840%, TP=517, FP=2344
[0158/5000] n=1, T=0.1578 -> Recall=91.33%, FAR=74.7921%, TP=516, FP=2338
[0159/5000] n=1, T=0.1588 -> Recall=91.33%, FAR=74.6001%, TP=516, FP=2332
[0160/5000] n=1, T=0.1598 -> Recall=91.15%, FAR=74.3762%, TP=515, FP=2325
[0161/5000] n=1, T=0.1608 -> Recall=90.97%, FAR=74.1203%, TP=514, FP=2317
[0162/5000] n=1, T=0.1618 -> Recall=90.80%, FAR=74.0563%, TP=513, FP=2315
[0163/5000] n=1, T=0.1628 -> Recall=90.80%, FAR=73.9603%, TP=513, FP=2312
[0164/5000] n=1, T=0.1638 -> Recall=90.44%, FAR=73.6404%, TP=511, FP=2302
[0165/5000] n=1, T=0.1648 -> Recall=90.27%, FAR=73.5765%, TP=510, FP=2300
[0166/5000] n=1, T=0.1658 -> Recall=90.27%, FAR=73.3205%, TP=510, FP=2292
